API,FIELD_NAME,LON,LAT,ELEV_KB,TD
4900705010,WC,-107.62776,41.01171,6627,4125
4900705018,BAGGS SOUTH,-107.74046,41.02101,6591,16248
4900705023,BAGGS SOUTH,-107.83873,41.03026,6344,5506
4900705050,ROBBERS GULCH,-107.68510,41.13570,6651,8385
4900705051,ROBBERS GULCH,-107.65156,41.16104,6426,7195
4900705057,ROBBERS GULCH,-107.67253,41.17992,6387,7348
4900705077,BARREL SPRINGS,-107.81840,41.34985,6582,9144
4900705277,ECHO SPRINGS,-107.76102,41.64662,7075,7005
4900706922,BAGGS SOUTH,-107.71803,41.01870,6291,4833
4900720003,BARREL SPRINGS,-107.85680,41.36448,6560,8990
4900720017,WEST SIDE CANAL,-107.67164,41.01548,6310,8620
4900720039,WEST SIDE CANAL,-107.68962,41.01579,6210,4501
4900720050,WC,-107.67565,41.04859,6267,6911
4900720051,BAGGS SOUTH,-107.85763,41.03783,6161,7514
4900720052,BAGGS SOUTH,-107.80473,41.01228,6164,6760
4900720056,BALDY BUTTE,-107.79861,41.44262,6798,2500
4900720067,BAGGS SOUTH,-107.70931,41.02697,6249,4560
4900720081,WC,-107.59442,41.00538,6608,4690
4900720094,WC,-107.85733,41.22286,7249,10715
4900720101,WC,-107.64764,41.06320,6363,5200
4900720122,WC,-107.73284,41.24440,6626,8400
4900720125,BARREL SPRINGS,-107.82788,41.37531,6616,9043
4900720129,ROBBERS GULCH,-107.71861,41.13572,6572,8616
4900720131,ANTHILL UNIT,-107.90666,41.02405,6643,8650
4900720136,WEST SIDE CANAL,-107.69976,41.03403,6228,4625
4900720142,WEST SIDE CANAL,-107.69020,41.03778,6248,5277
4900720222,COAL GULCH,-107.82558,41.40377,6702,9144
4900720228,BARREL SPRINGS,-107.82803,41.35351,6545,9346
4900720263,WC,-107.63260,41.06686,6294,6975
4900720268,LOOKOUT WASH,-107.85681,41.17959,7058,11518
4900720285,WC,-107.85195,41.11113,6733,11616
4900720308,SMITH RANCH,-107.87381,41.02901,6173,8050
4900720314,BLUE GAP,-107.75686,41.25561,6606,8864
4900720319,BLUE GAP,-107.80900,41.20140,6827,10410
4900720352,BLUE GAP,-107.71125,41.23896,6556,8050
4900720405,BLUE GAP,-107.71126,41.21723,6467,8150
4900720421,STANDARD DRAW,-107.86668,41.56148,6782,9342
4900720425,STANDARD DRAW,-107.80906,41.56116,7007,9550
4900720441,ECHO SPRINGS,-107.88635,41.59042,6738,9630
4900720443,ROBBERS GULCH,-107.67518,41.17963,6396,9823
4900720451,STANDARD DRAW,-107.88576,41.48925,6722,9307
4900720452,WILD ROSE,-107.88645,41.47422,6748,9882
4900720482,BARREL SPRINGS,-107.80638,41.32620,6538,10976
4900720483,BARREL SPRINGS,-107.84472,41.32642,6543,11575
4900720495,WILD ROSE,-107.88578,41.41624,6581,9585
4900720504,STANDARD DRAW,-107.84727,41.48908,6765,9240
4900720512,<Null>,-107.63664,41.12302,6350,10130
4900720514,ROBBERS GULCH,-107.69209,41.20997,6435,9772
4900720521,STANDARD DRAW,-107.86647,41.48912,6782,9398
4900720538,BARREL SPRINGS,-107.89035,41.27031,6867,11242
4900720541,STANDARD DRAW,-107.86659,41.54692,6765,9500
4900720560,ROBBERS GULCH,-107.67304,41.15898,6431,8194
4900720578,WC,-107.85252,41.07067,6371,10665
4900720594,BARREL SPRINGS,-107.88269,41.32725,6567,12396
4900720644,ROBBERS GULCH,-107.72987,41.20250,6602,8850
4900720673,ECHO SPRINGS,-107.60004,41.64630,6986,9708
4900720675,COAL GULCH,-107.84745,41.45260,6778,9237
4900720697,ROBBERS GULCH,-107.73041,41.14460,6616,9353
4900720700,ROBBERS GULCH,-107.78784,41.15923,7338,10730
4900720731,ROBBERS GULCH,-107.72024,41.18045,6600,8840
4900720734,STANDARD DRAW,-107.90496,41.48928,6777,10010
4900720738,ROBBERS GULCH,-107.76917,41.17434,6707,9773
4900720740,STANDARD DRAW,-107.84782,41.50355,6784,9529
4900720780,BAGGS SOUTH,-107.73143,41.05050,6490,8120
4900720795,BLUE GAP,-107.74893,41.20327,6540,9012
4900720811,BLUE GAP,-107.79657,41.28193,6580,9355
4900720983,BARREL SPRINGS,-107.91278,41.31862,6851,11450
4900720986,BLUE GAP,-107.77216,41.28813,6607,8962
4900720996,ROBBERS GULCH,-107.71441,41.20069,6740,8711
4900720997,WC,-107.47332,41.17143,6564,9285
4900721029,CRESTON,-107.76700,41.54965,7002,17060
4900721148,BIG RIDGE,-107.90174,41.16693,6725,12220
4900721161,BLUE GOOSE,-107.76820,41.11472,6476,10050
4900721226,BARREL SPRINGS,-107.80622,41.37702,6783,8790
4900721232,BIG RIDGE,-107.88483,41.17238,6813,11200
4900721249,STANDARD DRAW,-107.88681,41.51936,6793,18590
4900721303,BARREL SPRINGS,-107.81659,41.31127,6548,8934
4900721306,ROBBERS GULCH,-107.67582,41.20221,6448,7197
4900721375,ECHO SPRINGS,-107.80445,41.62594,7124,9775
4900721379,STANDARD DRAW,-107.89499,41.55391,6786,9447
4900721406,BLUE GOOSE,-107.79960,41.13215,6559,10085
4900721407,BLUE GOOSE,-107.76602,41.12798,6544,9624
4900721409,BLUE GOOSE,-107.80478,41.12851,6535,10180
4900721423,ROBBERS GULCH,-107.68491,41.21727,6417,7200
4900721527,BAGGS SOUTH,-107.79502,41.03608,6439,2395
4900721609,ECHO SPRINGS,-107.85761,41.63340,6892,9810
4900721625,STANDARD DRAW,-107.82764,41.53328,6874,9062
4900721713,ROBBERS GULCH,-107.77998,41.16603,7173,11000
4900721743,BARREL SPRINGS,-107.89361,41.32306,6605,10303
4900721754,LOOKOUT WASH,-107.89333,41.23167,7153,11550
4900721776,BARREL SPRINGS,-107.91222,41.27528,6751,11055
4900721799,SMITH RANCH,-107.86615,41.02164,6100,5622
4900721808,BARREL SPRINGS,-107.91191,41.29054,6812,11134
4900721862,WILD ROSE,-107.91472,41.43111,6611,9654
4900721966,BAGGS SOUTH,-107.76833,41.03444,6282,2408
4900721973,LOOKOUT WASH,-107.90428,41.23953,7145,11563
4900721974,ECHO SPRINGS,-107.77222,41.65500,7159,10064
4900721975,BAGGS SOUTH,-107.78055,41.02888,6254,1998
4900722027,BALDY BUTTE,-107.81000,41.43056,6819,8862
4900722133,ECHO SPRINGS,-107.80583,41.62222,7155,9818
4900722240,BARREL SPRINGS,-107.80442,41.28870,6576,9430
4900722241,BARREL SPRINGS,-107.85018,41.30003,6592,10567
4900722275,BALDY BUTTE,-107.80893,41.40217,6705,8894
4900722279,BLUE GAP,-107.79783,41.18786,7474,11260
4900722283,ROBBERS GULCH,-107.76100,41.15078,6792,10109
4900722319,ECHO SPRINGS,-107.91291,41.61984,6756,9815
4900722332,WC,-107.90183,41.10901,6465,12400
